,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,234309.59506921677
1,AT,Air transport services (62),868701.239052275
2,AT,All Products,95071.70522101616
3,AT,Aluminium and aluminium products,233437.336579839
4,AT,Aluminium ores and concentrates,0.0
5,AT,Animal products nec,3446606.8313788786
6,AT,Anthracite,0.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,14475.49314615101
9,AT,BKB/Peat Briquettes,109726.98588540149
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,472121.43408983323
11,AT,Beverages,62447.79690847485
12,AT,Biodiesels,414487.13662156736
13,AT,Biogas,939823.1867015492
14,AT,Biogasoline,244215.8523462972
15,AT,Bitumen,541968.6339832566
16,AT,Blast Furnace Gas,941066.7702186006
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",296433.247357249
19,AT,Cattle,4970011.597564223
20,AT,"Cement, lime and plaster",614740.284615908
21,AT,Ceramic goods,365370.1326516097
22,AT,Cereal grains nec,935119.4143945874
23,AT,Charcoal,533555.1428282899
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",329350.28719694604
25,AT,Chemicals nec,265733.2986887117
26,AT,Coal Tar,4640606.641256467
27,AT,Coke Oven Coke,4635011.477707374
28,AT,Coke oven gas,941015.0587726514
29,AT,Coking Coal,109728.10837815506
30,AT,"Collected and purified water, distribution services of water (41)",104732.87427484998
31,AT,Computer and related services (72),19664.699532438197
32,AT,Construction work (45),30938.49567880618
33,AT,Copper ores and concentrates,109728.11483355703
34,AT,Copper products,32641.335982779736
35,AT,Crops nec,957782.0446070123
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",2809849.254359678
37,AT,Dairy products,42693.69928532375
38,AT,Distribution and trade services of electricity,14158.125359910073
39,AT,Distribution services of gaseous fuels through mains,940435.4198841905
40,AT,Education services (80),14980.347612319496
41,AT,Electrical machinery and apparatus n.e.c. (31),38786.88098255707
42,AT,Electricity by Geothermal,332199.75405247346
43,AT,Electricity by biomass and waste,693413.8254589079
44,AT,Electricity by coal,2667336.1742404588
45,AT,Electricity by gas,515308.750889535
46,AT,Electricity by hydro,16120.695055288272
47,AT,Electricity by nuclear,78979.45592669201
48,AT,Electricity by petroleum and other oil derivatives,592179.233692665
49,AT,Electricity by solar photovoltaic,1064725.0509465393
50,AT,Electricity by solar thermal,0.0
51,AT,"Electricity by tide, wave, ocean",0.0
52,AT,Electricity by wind,205291.60889824634
53,AT,Electricity nec,11351.446000990089
54,AT,Ethane,14475.481824162314
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",27714.10397106525
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",3447.377461973232
58,AT,Fish and other fishing products; services incidental of fishing (05),7411.960428897422
59,AT,Fish products,693687.6297772146
60,AT,Food products nec,42783.897485274974
