,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,524542.8751837685
1,AT,Air transport services (62),887143.9268056385
2,AT,All Products,162468.44081907827
3,AT,Aluminium and aluminium products,57234.94175817218
4,AT,Aluminium ores and concentrates,22855567.966299273
5,AT,Animal products nec,5117457.710161529
6,AT,Anthracite,0.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,0.0
9,AT,BKB/Peat Briquettes,0.0
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,568626.0773957473
11,AT,Beverages,96866.29106039958
12,AT,Biodiesels,531488.1145916625
13,AT,Biogas,1509516.2250977473
14,AT,Biogasoline,516400.99371741334
15,AT,Bitumen,1095249.0352322406
16,AT,Blast Furnace Gas,1528266.582503415
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",436356.43162367505
19,AT,Cattle,7875149.571089332
20,AT,"Cement, lime and plaster",942645.1548950985
21,AT,Ceramic goods,542915.1750424494
22,AT,Cereal grains nec,1257951.1610160142
23,AT,Charcoal,969723.1322312659
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",263909.8539199006
25,AT,Chemicals nec,553331.1583777068
26,AT,Coal Tar,22849811.31053127
27,AT,Coke Oven Coke,22838327.99035272
28,AT,Coke oven gas,1526975.8479342696
29,AT,Coking Coal,0.0
30,AT,"Collected and purified water, distribution services of water (41)",207954.9607724875
31,AT,Computer and related services (72),18652.717247618646
32,AT,Construction work (45),73088.00396849155
33,AT,Copper ores and concentrates,1107581.3244492568
34,AT,Copper products,35184.14258247227
35,AT,Crops nec,633094.0066382015
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",6229124.093004511
37,AT,Dairy products,80716.03712613964
38,AT,Distribution and trade services of electricity,14665.847092868424
39,AT,Distribution services of gaseous fuels through mains,1525625.807801937
40,AT,Education services (80),34989.88661925531
41,AT,Electrical machinery and apparatus n.e.c. (31),35633.570520240246
42,AT,Electricity by Geothermal,95939.47827661793
43,AT,Electricity by biomass and waste,224924.39499244955
44,AT,Electricity by coal,13127909.179629216
45,AT,Electricity by gas,2065279.4994957012
46,AT,Electricity by hydro,16260.487780024407
47,AT,Electricity by nuclear,290482.2225016213
48,AT,Electricity by petroleum and other oil derivatives,2870233.0655090786
49,AT,Electricity by solar photovoltaic,5401766.694742999
50,AT,Electricity by solar thermal,0.0
51,AT,"Electricity by tide, wave, ocean",0.0
52,AT,Electricity by wind,1529923.6249208117
53,AT,Electricity nec,16102.196944854626
54,AT,Ethane,0.0
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",27765.25112583465
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",11751.480881749645
58,AT,Fish and other fishing products; services incidental of fishing (05),4281.205845065404
59,AT,Fish products,142916.30127979518
60,AT,Food products nec,68870.82360074235
61,AT,Food waste for treatment: biogasification and land application,487109.41499989515
62,AT,Food waste for treatment: composting and land application,131277.5811179609
63,AT,Food waste for treatment: incineration,114051.04864561016
64,AT,Food waste for treatment: landfill,79094227.03738073
65,AT,Food waste for treatment: waste water treatment,1511970.272963518
66,AT,Foundry work services,943766.8755213054
67,AT,Furniture; other manufactured goods n.e.c. (36),36661.555873090445
68,AT,Gas Coke,0.0
69,AT,Gas Works Gas,851729.8399411845
70,AT,Gas/Diesel Oil,1100899.2780708452
71,AT,Gasoline Type Jet Fuel,1193604.3321529517
72,AT,Glass and glass products,599680.9664270785
73,AT,Health and social work services (85),52478.2326172166
74,AT,Heavy Fuel Oil,1101354.4151375133
75,AT,Hotel and restaurant services (55),24692.782545924034
76,AT,Inert/metal/hazardous waste for treatment: landfill,139044.9276774342
77,AT,Inland water transportation services,1861484.8015848915
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",14856.434379228873
79,AT,Intert/metal waste for treatment: incineration,177284.04910933046
80,AT,Iron ores,591496.2429313685
81,AT,Kerosene,1100985.9695593424
82,AT,Kerosene Type Jet Fuel,1101099.0368960341
83,AT,"Lead, zinc and tin and products thereof",37621.598545719855
84,AT,"Lead, zinc and tin ores and concentrates",1107595.4518042128
85,AT,Leather and leather products (19),9482.168195001621
86,AT,Lignite/Brown Coal,99272701.5725162
87,AT,Liquefied Petroleum Gases (LPG),1101690.311755091
88,AT,Lubricants,1101818.315394523
89,AT,Machinery and equipment n.e.c. (29),22799.542856740016
90,AT,Manure (biogas treatment),0.0
91,AT,Manure (conventional treatment),0.0
92,AT,Meat animals nec,4815534.093115933
93,AT,Meat products nec,67630.42068888988
94,AT,"Medical, precision and optical instruments, watches and clocks (33)",68109.80057110965
95,AT,Membership organisation services n.e.c. (91),89129.32275756268
96,AT,Motor Gasoline,1102592.994611426
97,AT,"Motor vehicles, trailers and semi-trailers (34)",9648.09746853852
98,AT,N-fertiliser,1777935.2915815397
99,AT,Naphtha,1091004.1729617547
100,AT,Natural Gas Liquids,6170863.673410938
101,AT,"Natural gas and services related to natural gas extraction, excluding surveying",5991469.355253274
102,AT,Nickel ores and concentrates,22855567.870051205
103,AT,Non Secondary Products,162563.46744326488
104,AT,Non-specified Petroleum Products,1097494.077597713
105,AT,Nuclear fuel,45728328.49812246
106,AT,Office machinery and computers (30),61625.97742175647
107,AT,Oil seeds,980033.4319258836
