,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,288857.7399093524
1,AT,Air transport services (62),837778.7292694116
2,AT,All Products,129263.34417848369
3,AT,Aluminium and aluminium products,46899.19998505673
4,AT,Aluminium ores and concentrates,5684021.80761
5,AT,Animal products nec,4509348.771871313
6,AT,Anthracite,12294705914.699999
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,135790.834731
9,AT,BKB/Peat Briquettes,1599346238.2
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,480717.0857291942
11,AT,Beverages,73862.82983083522
12,AT,Biodiesels,822534.9269835646
13,AT,Biogas,1369775.4588123097
14,AT,Biogasoline,287501.1574392961
15,AT,Bitumen,999866.1138817861
16,AT,Blast Furnace Gas,1370168.7142358606
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",418084.1165785483
19,AT,Cattle,7055247.743315095
20,AT,"Cement, lime and plaster",857746.3967846269
21,AT,Ceramic goods,330381.0397110654
22,AT,Cereal grains nec,1010264.6740836984
23,AT,Charcoal,507371.5304879462
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",241405.25193669254
25,AT,Chemicals nec,335571.4515018934
26,AT,Coal Tar,6780918.210198042
27,AT,Coke Oven Coke,6783445.323857536
28,AT,Coke oven gas,1370139.0510827135
29,AT,Coking Coal,13156674027.999998
30,AT,"Collected and purified water, distribution services of water (41)",212564.01990575003
31,AT,Computer and related services (72),22039.516796599517
32,AT,Construction work (45),52797.960959685035
33,AT,Copper ores and concentrates,13045698.168799998
34,AT,Copper products,29872.05180100492
35,AT,Crops nec,528482.1068183439
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",3057602.842406472
37,AT,Dairy products,55219.06012599054
38,AT,Distribution and trade services of electricity,4089.5854945831543
39,AT,Distribution services of gaseous fuels through mains,1369287.269272329
40,AT,Education services (80),23293.043435520965
41,AT,Electrical machinery and apparatus n.e.c. (31),25311.080812758442
42,AT,Electricity by Geothermal,753635.6394225897
43,AT,Electricity by biomass and waste,204262.45741252863
44,AT,Electricity by coal,7887126.942777924
45,AT,Electricity by gas,1020645.2938025481
46,AT,Electricity by hydro,6052.595784957808
47,AT,Electricity by nuclear,109680854.84799999
48,AT,Electricity by petroleum and other oil derivatives,1219237.411472855
49,AT,Electricity by solar photovoltaic,2906090.990454365
50,AT,Electricity by solar thermal,0.20606826067899997
