,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,605715.3140274314
1,AT,Air transport services (62),732658.1397479491
2,AT,All Products,138765.83730915774
3,AT,Aluminium and aluminium products,43366.899052136134
4,AT,Aluminium ores and concentrates,4223248.88302
5,AT,Animal products nec,5795172.364672937
6,AT,Anthracite,13263434410.3
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,743795.957498
9,AT,BKB/Peat Briquettes,1794646253.61
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,541098.9353494423
11,AT,Beverages,78194.99923418398
12,AT,Biodiesels,869765.2524886299
13,AT,Biogas,1230462.0246174098
14,AT,Biogasoline,605900.8797239256
15,AT,Bitumen,838879.7846352913
16,AT,Blast Furnace Gas,1230575.9249632207
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",504224.31770779553
19,AT,Cattle,7321071.366014555
20,AT,"Cement, lime and plaster",879076.9303012323
21,AT,Ceramic goods,376547.8746379232
22,AT,Cereal grains nec,1058740.279274883
23,AT,Charcoal,835334.4461234804
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",233255.98295411313
25,AT,Chemicals nec,629366.4999355339
26,AT,Coal Tar,8226353.614025568
27,AT,Coke Oven Coke,8224254.881776313
28,AT,Coke oven gas,1230593.740530127
29,AT,Coking Coal,12439764825.499998
30,AT,"Collected and purified water, distribution services of water (41)",160932.87852419235
31,AT,Computer and related services (72),22459.848447744094
32,AT,Construction work (45),58413.245449392285
33,AT,Copper ores and concentrates,18076146.5039
34,AT,Copper products,27586.357667309698
35,AT,Crops nec,395814.81179149455
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",3782519.4559962996
37,AT,Dairy products,61061.205221533106
38,AT,Distribution and trade services of electricity,3338.073992925371
39,AT,Distribution services of gaseous fuels through mains,1229933.6927498882
40,AT,Education services (80),36177.82935393431
41,AT,Electrical machinery and apparatus n.e.c. (31),26119.117080444878
42,AT,Electricity by Geothermal,701047.6299984215
43,AT,Electricity by biomass and waste,225582.4925789954
44,AT,Electricity by coal,8200226.588245335
45,AT,Electricity by gas,1407530.8909968128
46,AT,Electricity by hydro,4574.5273597626165
47,AT,Electricity by nuclear,24136.684856258973
48,AT,Electricity by petroleum and other oil derivatives,1558698.879481082
49,AT,Electricity by solar photovoltaic,2813523.0019473354
50,AT,Electricity by solar thermal,0.24479858830399998
51,AT,"Electricity by tide, wave, ocean",5096.33622381
52,AT,Electricity by wind,214234.9653301461
53,AT,Electricity nec,2678.381523310944
54,AT,Ethane,7812053.2291399995
55,AT,Extra-territorial organizations and bodies,0.0
56,AT,"Fabricated metal products, except machinery and equipment (28)",20961.77715639656
57,AT,"Financial intermediation services, except insurance and pension funding services (65)",10061.154778224796
58,AT,Fish and other fishing products; services incidental of fishing (05),5985.282279235595
59,AT,Fish products,485469.62841315934
60,AT,Food products nec,51948.79876523042
61,AT,Food waste for treatment: biogasification and land application,82713.66375750155
62,AT,Food waste for treatment: composting and land application,105989.05100009596
63,AT,Food waste for treatment: incineration,89560.55860013074
64,AT,Food waste for treatment: landfill,43766344.17351392
65,AT,Food waste for treatment: waste water treatment,1711227.346620525
66,AT,Foundry work services,496904.1831080545
67,AT,Furniture; other manufactured goods n.e.c. (36),27865.60443139246
68,AT,Gas Coke,477.83713904599995
69,AT,Gas Works Gas,6236001.47433
70,AT,Gas/Diesel Oil,838902.103499567
71,AT,Gasoline Type Jet Fuel,806313.3855139546
72,AT,Glass and glass products,250637.5940122581
73,AT,Health and social work services (85),53873.55702433156
74,AT,Heavy Fuel Oil,838893.3259041363
75,AT,Hotel and restaurant services (55),30155.355897816113
76,AT,Inert/metal/hazardous waste for treatment: landfill,58591.22467354185
77,AT,Inland water transportation services,922773.0118989596
78,AT,"Insurance and pension funding services, except compulsory social security services (66)",9531.914715481746
79,AT,Intert/metal waste for treatment: incineration,290100.51147254277
