,region,sector,Carbon Stressor
0,AT,Additives/Blending Components,180107.83949601295
1,AT,Air transport services (62),858991.8901533537
2,AT,All Products,91139.15614599858
3,AT,Aluminium and aluminium products,237190.43713969577
4,AT,Aluminium ores and concentrates,0.0
5,AT,Animal products nec,2998744.875687281
6,AT,Anthracite,0.0
7,AT,"Ash for treatment, Re-processing of ash into clinker",0.0
8,AT,Aviation Gasoline,14149.622944045408
9,AT,BKB/Peat Briquettes,108512.67282883107
10,AT,Basic iron and steel and of ferro-alloys and first products thereof,439973.9123351902
11,AT,Beverages,91580.80679902199
12,AT,Biodiesels,374468.38514317037
13,AT,Biogas,796589.0671498796
14,AT,Biogasoline,187383.467760135
15,AT,Bitumen,537367.733212143
16,AT,Blast Furnace Gas,796781.8183633339
17,AT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
18,AT,"Bricks, tiles and construction products, in baked clay",258122.71950964307
19,AT,Cattle,4399083.012198996
20,AT,"Cement, lime and plaster",575585.8117664914
21,AT,Ceramic goods,327586.43121642974
22,AT,Cereal grains nec,859886.2687741477
23,AT,Charcoal,36895.28916128505
24,AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",315199.4485079175
25,AT,Chemicals nec,214232.8280483316
26,AT,Coal Tar,4135906.4358313023
27,AT,Coke Oven Coke,4128502.1281641666
28,AT,Coke oven gas,796752.9686902384
29,AT,Coking Coal,108513.73008163078
30,AT,"Collected and purified water, distribution services of water (41)",90017.2049440087
31,AT,Computer and related services (72),20631.6359730242
32,AT,Construction work (45),31905.176671211953
33,AT,Copper ores and concentrates,108513.73711915336
34,AT,Copper products,31937.56446019314
35,AT,Crops nec,988262.0410690804
36,AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",3416722.094562462
37,AT,Dairy products,36258.549450189945
38,AT,Distribution and trade services of electricity,15478.716296599501
39,AT,Distribution services of gaseous fuels through mains,796602.6075386753
40,AT,Education services (80),14811.989715911626
41,AT,Electrical machinery and apparatus n.e.c. (31),36528.545631991125
42,AT,Electricity by Geothermal,330744.34166859096
43,AT,Electricity by biomass and waste,749959.0990389923
44,AT,Electricity by coal,2628209.809946474
45,AT,Electricity by gas,510138.0893593175
46,AT,Electricity by hydro,18550.64024890876
47,AT,Electricity by nuclear,67794.27736178658
48,AT,Electricity by petroleum and other oil derivatives,586140.6510160313
